Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
03-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
04-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
05-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
06-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
09-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
10-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
11-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
12-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
13-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
16-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
17-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
18-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
23-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
24-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
25-Oct-17,BANKNIFTY17OCTFUT,40,0,0,0,0
26-Oct-17,BANKNIFTY17NOVFUT,40,0,0,0,0
27-Oct-17,BANKNIFTY17NOVFUT,40,0,0,0,0
30-Oct-17,BANKNIFTY17NOVFUT,40,0,0,0,0
02-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
03-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
06-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
07-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
08-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
09-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
10-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
13-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
14-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
15-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
16-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
17-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
20-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
21-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
22-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
23-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
24-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
27-Nov-17,BANKNIFTY17NOVFUT,40,0,0.27,0,0
28-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
29-Nov-17,BANKNIFTY17NOVFUT,40,0,0,0,0
30-Nov-17,BANKNIFTY17DECFUT,40,0,0,0,0
01-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
08-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
11-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
12-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
13-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
14-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
15-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
18-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
19-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
20-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
21-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
22-Dec-17,BANKNIFTY17DECFUT,40,0,0,0,0
28-Dec-17,BANKNIFTY18JANFUT,40,0,0,0,0
04-Jan-18,BANKNIFTY18JANFUT,40,0,0.27,0,0
05-Jan-18,BANKNIFTY18JANFUT,40,0,0,0,0
08-Jan-18,BANKNIFTY18JANFUT,40,0,0,0,0
