Date,Trading Symbol,Lot Size,ATR %,Blank Candle %,Supporting1,Supporting2
22-Jul-19,YESBANK19JULFUT,2200,9.882664380388360360360360360,0.27,83.35,0
22-Jul-19,IBULHSGFIN19JULFUT,800,6.2168537453487991180407906100,0.53,635.7,0
22-Jul-19,RBLBANK19JULFUT,1200,5.1075979819365707434052757800,2.67,501.55,0
22-Jul-19,JINDALSTEL19JULFUT,3200,4.9754340968704974765681326600,3.47,139.15,0
22-Jul-19,BEL19JULFUT,6000,4.5655603373427295788939624600,0.8,98.4,0
22-Jul-19,TATAMOTORS19JULFUT,3000,4.4640950345939425250242169800,0,154.75,0
22-Jul-19,ZEEL19JULFUT,1300,4.4194812276663550077914718800,0.27,352.55,0
22-Jul-19,MINDTREE19JULFUT,600,4.3591640398716147393648891600,5.6,669.35,0
22-Jul-19,ESCORTS19JULFUT,1100,4.3171447697153778127149454700,4.8,508.8,0
22-Jul-19,RECLTD19JULFUT,6000,4.2926932009139383677615983700,4.27,148.2,0
